City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Porbandar,IN,21.64,69.61,82.24,70,20,5.58,few clouds
298,Luwuk,ID,-0.95,122.79,77.67,88,77,0.39,broken clouds
299,Dhone,IN,15.42,77.88,75.34,85,100,1.68,moderate rain
300,Birao,CF,10.28,22.79,82.38,64,26,1.37,scattered clouds
301,Sehithwa,BW,-20.47,22.72,95.5,7,0,2.49,clear sky
302,Dharmabad,IN,18.9,77.85,75.34,88,100,2.12,moderate rain
303,Vila,PT,42.03,-8.16,66.7,53,41,2.66,scattered clouds
304,High Prairie,CA,55.43,-116.49,44.92,68,100,5.17,overcast clouds
305,Belen,TR,36.49,36.22,71.74,57,40,3.6,scattered clouds
306,Dalby,AU,-27.18,151.27,58.98,91,99,0.45,overcast clouds
307,Lanja,IN,16.85,73.55,74.98,94,72,1.47,broken clouds
308,Buala,SB,-8.14,159.59,80.8,72,100,4.79,overcast clouds
309,Urucui,BR,-7.23,-44.56,102.09,14,0,4.2,clear sky
310,Asau,RO,46.43,26.4,58.12,67,99,2.26,overcast clouds
311,Manavalakurichi,IN,8.13,77.3,78.37,84,100,5.62,overcast clouds
312,Whitehorse,CA,60.72,-135.05,41.81,74,75,6.71,broken clouds
313,Grenville,GD,12.12,-61.62,80.65,86,99,9.73,overcast clouds
314,Los Llanos De Aridane,ES,28.66,-17.92,73.15,78,40,6.17,scattered clouds
315,Dedougou,BF,12.47,-3.47,92.79,39,82,3.59,broken clouds
316,Lagoa,PT,39.05,-27.98,68.83,82,100,9.47,light rain
317,Kovur,IN,14.48,79.98,79.61,84,100,1.8,light rain
318,Lebowakgomo,ZA,-24.2,29.5,81.5,22,0,3.86,clear sky
319,Luanda,AO,-8.84,13.23,77.0,78,0,5.14,clear sky
320,Shache,CN,38.42,77.24,61.72,23,100,3.27,overcast clouds
321,Ormara,PK,25.21,64.64,79.61,84,0,5.03,clear sky
322,La Paz,BO,-16.5,-68.15,60.78,30,40,5.14,scattered clouds
323,La Reforma,MX,25.08,-108.05,80.06,75,0,1.46,clear sky
324,Kuzedeyevo,RU,53.33,87.2,33.89,99,100,3.07,snow
325,Olafsvik,IS,64.89,-23.71,44.42,68,100,5.27,overcast clouds
326,Fairbanks,US,64.84,-147.72,35.31,89,40,1.54,scattered clouds
327,Mildura,AU,-34.2,142.15,57.07,94,29,3.73,scattered clouds
328,Manhattan,US,40.78,-73.97,61.05,91,100,7.72,mist
329,Reconquista,AR,-29.15,-59.65,78.82,41,0,7.2,clear sky
330,Cabo San Lucas,MX,22.89,-109.91,84.51,68,0,5.14,clear sky
331,Sumbawanga,TZ,-7.97,31.62,70.93,28,78,1.5,broken clouds
332,Rio Gallegos,AR,-51.62,-69.22,51.85,50,75,4.12,broken clouds
333,Vao,NC,-22.67,167.48,69.82,60,49,4.87,scattered clouds
334,Santa Maria,BR,-29.68,-53.81,76.32,47,5,4.63,clear sky
335,Baijiantan,CN,45.63,85.18,57.49,18,0,1.83,clear sky
336,Mount Gambier,AU,-37.83,140.77,57.11,94,100,5.66,overcast clouds
337,Waddan,LY,29.16,16.14,82.31,28,0,5.59,clear sky
338,Tomigusuku,JP,26.18,127.67,80.73,83,40,6.17,scattered clouds
339,Gornopravdinsk,RU,60.05,69.9,43.16,95,100,2.12,overcast clouds
340,Baykit,RU,61.67,96.37,31.28,99,100,1.05,light snow
341,Deputatskiy,RU,69.3,139.9,7.39,95,96,2.09,overcast clouds
342,Namatanai,PG,-3.67,152.43,79.29,82,81,3.98,broken clouds
343,Narsaq,GL,60.92,-46.05,37.62,96,100,5.13,light rain
344,Esik,KZ,43.36,77.45,47.62,53,52,3.09,broken clouds
345,Rawatsar,IN,29.28,74.38,87.87,26,0,3.93,clear sky
346,Eureka,US,40.8,-124.16,60.21,87,32,1.07,scattered clouds
347,Toamasina,MG,-18.17,49.38,73.4,78,20,1.54,few clouds
348,Udachnyy,RU,66.42,112.4,25.14,95,100,4.96,light snow
349,The Valley,AI,18.22,-63.06,87.82,70,20,8.23,few clouds
350,Korla,CN,41.76,86.15,58.93,25,0,4.77,clear sky
351,New Norfolk,AU,-42.78,147.06,49.5,70,100,1.79,overcast clouds
352,Christchurch,NZ,-43.53,172.63,34.92,75,40,6.17,scattered clouds
353,Flinders,AU,-34.58,150.86,59.38,88,100,1.34,light rain
354,Ola,RU,59.58,151.28,23.14,71,92,2.72,overcast clouds
355,Pangnirtung,CA,66.15,-65.71,33.04,63,92,0.43,overcast clouds
